Model,Accuracy,Precision,Recall,F1-Score,MSE_train,MSE_test
Support Vector Machine (SVM),0.8977272727272727,0.9631901840490797,0.839572192513369,0.8971428571428571,0.06827880512091039,0.06827880512091039
SVM with Best Params,0.8920454545454546,0.9461077844311377,0.8449197860962567,0.8926553672316384,0.03698435277382646,0.03698435277382646
